cell_id_token,center_latitude,center_longitude,count,config_name
86d84,32.648380018365515,-109.18800474020169,5,config_1
86d94,32.06630758392501,-108.42760468979141,47,config_1
86d99,31.80408405118572,-108.99776892942042,6,config_1
86d9ac,32.25679646125588,-108.90268301372318,14,config_1
86d9b1,32.19095091626431,-109.04532003175699,14,config_1
86d9b3,32.27836360178427,-109.04532003175699,18,config_1
86d9b5,32.26349991909374,-109.1404380352064,32,config_1
86d9d,32.09496324337445,-109.37832062678952,45,config_1
86dd,31.170406262378183,-107.29028389464884,25,config_1
86de044,32.07662456539748,-106.6527099211625,5,config_1
86de04c,32.12077960928105,-106.6527099211625,8,config_1
86de054,32.11441721983145,-106.69987670323877,11,config_1
86de05c,32.07026691639953,-106.69987670323877,33,config_1
86de06c,32.032451909080045,-106.6527099211625,17,config_1
86de071,31.997725415175303,-106.66450066298461,20,config_1
86de073,32.000895147477095,-106.64091981764263,4,config_1
86de075,31.978795071882057,-106.64091981764263,27,config_1
86de0c,32.03221071194093,-106.81783770824106,8,config_1
86de11,32.171018276513166,-106.77064581500318,17,config_1
86de15,32.24632188966349,-106.86503947741906,12,config_1
86de17,32.25919840717124,-106.77064581500318,40,config_1
86de19,32.27199570591609,-106.67629204160652,10,config_1
86de1a4,32.20266478784681,-106.69987670323877,33,config_1
86de1ac,32.15854986464909,-106.69987670323877,16,config_1
86de1b4,32.16491697754965,-106.6527099211625,5,config_1
86de3,32.48576704653213,-106.72346389403498,29,config_1
86de7,32.081587719312495,-107.10119308682007,7,config_1
86ded,32.32591223282607,-107.8583867896444,11,config_1
86dee4,32.454717104565546,-107.57418545238139,47,config_1
86deec,32.27911220470865,-107.57418545238139,2,config_1
86def4,32.30603393314744,-107.38488314332629,2,config_1
86defc,32.48171675547284,-107.38488314332629,6,config_1
86df4,32.87874636367703,-107.66888695938226,39,config_1
86e1,32.78638491369277,-105.78206743935718,47,config_1
86e264,33.398952082914576,-104.37919124556632,35,config_1
86e26c,33.37685367394108,-104.56552726119028,32,config_1
86e34,32.65834488440744,-103.91439904540992,3,config_1
86e5,31.54796555760672,-104.2861115827901,1,config_1
86e7,31.36908667195912,-105.78206743935718,37,config_1
86ec,29.299863407075296,-105.03236346529708,17,config_1
86f4,29.605470079262727,-102.0718280662253,12,config_1
86f9,31.84730436225948,-101.34310583455695,16,config_1
86fb,31.707254188342684,-102.80547525792774,15,config_1
86fd,33.13265357551238,-102.80547525792774,28,config_1
86fe4,33.595849265812916,-101.70682943311247,18,config_1
86fec,32.88684586721839,-101.70682943311247,5,config_1
86ff1,33.115003595512285,-101.16173564777472,34,config_1
86ff3,32.75895479983308,-101.16173564777472,10,config_1
86ff5,32.79090172475137,-100.80000510701574,20,config_1
86ffc,33.66302387809893,-100.98070031132626,3,config_1
87203,33.88370872562598,-106.72346389403498,14,config_1
87205,33.830572146608404,-107.10119308682007,24,config_1
87207,33.4832070469496,-107.10119308682007,29,config_1
8721c,34.37614615830161,-106.91225102614887,44,config_1
872204,34.846246578644894,-106.62913035392717,5,config_1
872209,34.981537677748776,-106.58197892714489,7,config_1
87220b,35.06722860797057,-106.58197892714489,9,config_1
87220c4,35.03589074856492,-106.6527099211625,29,config_1
87220cc,35.07870933440729,-106.6527099211625,18,config_1
87220d4,35.07206433186745,-106.69987670323877,20,config_1
87220dc,35.02924933866187,-106.69987670323877,43,config_1
87220f,34.96830717635516,-106.67629204160652,50,config_1
872214,34.99114394854021,-106.81783770824106,13,config_1
87221c,34.819663616385284,-106.81783770824106,45,config_1
87223,34.86490572500623,-107.10119308682007,21,config_1
87226c,35.162281673434464,-106.81783770824106,1,config_1
872271,35.22507824357043,-106.67629204160652,13,config_1
872273,35.139574214309256,-106.67629204160652,29,config_1
872275,35.152833348692646,-106.58197892714489,32,config_1
872277,35.238351495469196,-106.58197892714489,9,config_1
87227c,35.359828813793214,-106.62913035392717,5,config_1
8722c,35.7449475871579,-106.91225102614887,35,config_1
87234,35.63334655030604,-107.66888695938226,30,config_1
872384,35.16552393244321,-107.95318355546407,11,config_1
87238c,34.99508840818153,-107.95318355546407,26,config_1
872394,35.02378778071477,-107.7636209979384,24,config_1
87239a4,35.12681458451914,-107.78730949942766,20,config_1
87239ac,35.11965097044764,-107.83469240745315,32,config_1
87239b4,35.162248161892485,-107.83469240745315,19,config_1
8723b4,35.080185741705215,-107.38488314332629,23,config_1
8723bc,35.05215355022594,-107.57418545238139,34,config_1
8723d,34.809689335356424,-107.47951725467925,1,config_1
8723f,34.7531441277272,-107.8583867896444,34,config_1
87241,34.69526997304475,-108.23775189843867,9,config_1
87245,34.977162577931615,-108.61756263435514,25,config_1
87247,35.03662700496657,-108.23775189843867,17,config_1
87249,35.37662785120905,-108.23775189843867,21,config_1
8724d,35.65528736324771,-108.61756263435514,28,config_1
8724f,35.31691103423013,-108.61756263435514,30,config_1
87254,35.39399076379331,-109.18800474020169,29,config_1
8725c,34.715284394145534,-109.18800474020169,46,config_1
87264,34.03130170764772,-109.18800474020169,13,config_1
87269,34.29365148753528,-108.61756263435514,38,config_1
8726b,34.352582823384836,-108.23775189843867,17,config_1
873a23,36.95013279544794,-109.1404380352064,32,config_1
873a25,36.96595058184591,-109.04532003175699,20,config_1
873a3c,36.833649769410606,-109.09287643303662,24,config_1
873ac,36.06721734694656,-109.18800474020169,16,config_1
873b4,36.19054884940218,-108.42760468979141,38,config_1
873b85,36.68834284995405,-108.1903058640108,45,config_1
873b87,36.703237955585884,-108.0954350750474,35,config_1
873b8c,36.82088445948896,-108.14286689033348,34,config_1
873b94,36.79088438031434,-108.33266475883127,9,config_1
873bb,36.661941153360814,-108.61756263435514,14,config_1
873bf,37.055429494622416,-108.23775189843867,12,config_1
873c4,36.97772057880847,-107.66888695938226,43,config_1
873cc,36.308443175380226,-107.66888695938226,13,config_1
873d3,36.224902575772305,-107.10119308682007,3,config_1
873d5,36.27967216230119,-106.72346389403498,46,config_1
873d7,36.616289220339816,-106.72346389403498,39,config_1
873d84,36.88134178233343,-106.62913035392717,36,config_1
873d91,36.98638086875918,-106.77064581500318,21,config_1
873d95,37.05615352814808,-106.86503947741906,36,config_1
873d9c,36.85412672205451,-106.81783770824106,3,config_1
873db,36.896259290597975,-107.10119308682007,18,config_1
873dd,37.229696462462684,-107.10119308682007,3,config_1
873df,37.28503790867621,-106.72346389403498,3,config_1
8700c,35.06638763194719,-100.98070031132626,12,config_1
87014,34.997915427712485,-101.70682943311247,37,config_1
8701c,34.299617578644025,-101.70682943311247,9,config_1
8702c4,34.226411649394365,-103.26634785926352,4,config_1
8702dc4,34.381689370828894,-103.24326320176718,27,config_1
8702dd9,34.3771002599812,-103.18557018475742,16,config_1
8702ddb,34.37457880958151,-103.20864419143828,13,config_1
8702ddd,34.396382639212696,-103.20864419143828,27,config_1
8702ddf,34.39890483511509,-103.18557018475742,35,config_1
8702de1,34.420704086794636,-103.18557018475742,46,config_1
8702de3,34.442498008154864,-103.18557018475742,36,config_1
8702de5,34.43997432617424,-103.20864419143828,43,config_1
8702de7,34.41818114703205,-103.20864419143828,35,config_1
8702de9,34.41565325398787,-103.23172246680781,41,config_1
8702deb,34.413120406016596,-103.25480499971735,13,config_1
8702ded,34.43491209584081,-103.25480499971735,8,config_1
8702def,34.437445689285205,-103.23172246680781,19,config_1
8702df4,34.46885760475188,-103.24326320176718,6,config_1
8702dfc,34.47391710430892,-103.1971066538153,11,config_1
8702e0c,34.4353773955006,-103.15096720289576,41,config_1
8702e14,34.440394313417315,-103.10484493807226,10,config_1
8702e7,34.372477028940764,-103.12790391666044,49,config_1
8702ec,34.24650469907109,-103.08179027824441,5,config_1
87031,34.69232684742279,-102.9896150485228,4,config_1
870324,34.5751567386686,-103.26634785926352,32,config_1
87032c,34.55465063489172,-103.451176849024,32,config_1
87033c,34.7490149705364,-103.26634785926352,1,config_1
87035,34.99887870766184,-103.35872878555274,8,config_1
87037,35.03948313638858,-102.9896150485228,1,config_1
8703c,34.92446954871148,-102.43805808577758,2,config_1
8705,35.921155923343846,-102.80547525792774,14,config_1
