cell_id_token,center_latitude,center_longitude,count,config_name
86d84,32.648380018365515,-109.18800474020169,6,config_1
86d89,32.91132957030165,-108.61756263435514,13,config_1
86d8b,32.9690804797489,-108.23775189843867,15,config_1
86d8c74,32.76225982460789,-108.30893397532368,2,config_1
86d8c79,32.77851861368784,-108.27334099912287,27,config_1
86d8c7b,32.75670826040579,-108.27334099912287,3,config_1
86d8c7d,32.76027082871721,-108.24961449884272,15,config_1
86d8c7f,32.78208241608464,-108.24961449884272,11,config_1
86d8cc,32.72167749361906,-108.14286689033348,8,config_1
86d904,32.2860257997459,-108.71257908243416,47,config_1
86d914,32.139738165920875,-108.52257090915697,1,config_1
86d91c,32.31493717153665,-108.52257090915697,11,config_1
86d93,32.27008090197644,-108.23775189843867,3,config_1
86d95,31.918875059367316,-108.23775189843867,4,config_1
86d97,31.86211014931311,-108.61756263435514,7,config_1
86d99,31.80408405118572,-108.99776892942042,37,config_1
86d9a4,32.08176750861138,-108.90268301372318,3,config_1
86d9ac,32.25679646125588,-108.90268301372318,14,config_1
86d9b1,32.19095091626431,-109.04532003175699,14,config_1
86d9b3,32.27836360178427,-109.04532003175699,19,config_1
86d9b5,32.26349991909374,-109.1404380352064,32,config_1
86d9d,32.09496324337445,-109.37832062678952,46,config_1
86db,30.951860899740495,-108.80761947009503,9,config_1
86dc4,31.47203951020871,-107.66888695938226,2,config_1
86ddc,31.57701587153334,-106.91225102614887,50,config_1
86de01,32.019847820666364,-106.58197892714489,3,config_1
86de03,32.10820732637211,-106.58197892714489,1,config_1
86de044,32.07662456539748,-106.6527099211625,6,config_1
86de04c,32.12077960928105,-106.6527099211625,9,config_1
86de054,32.11441721983145,-106.69987670323877,12,config_1
86de05c,32.07026691639953,-106.69987670323877,33,config_1
86de06c,32.032451909080045,-106.6527099211625,19,config_1
86de071,31.997725415175303,-106.66450066298461,20,config_1
86de073,32.000895147477095,-106.64091981764263,4,config_1
86de075,31.978795071882057,-106.64091981764263,28,config_1
86de0c,32.03221071194093,-106.81783770824106,8,config_1
86de11,32.171018276513166,-106.77064581500318,21,config_1
86de15,32.24632188966349,-106.86503947741906,22,config_1
86de164,32.27801942286534,-106.79424052110762,27,config_1
86de174,32.240365624161775,-106.74705360196708,17,config_1
