[16:54:36] INFO - Epoch 19/30 | train loss=0.7243 acc=88.77% | val loss=2.9316 acc=46.01% | time=174.98s
[16:57:30] INFO - Epoch 20/30 | train loss=0.6745 acc=89.66% | val loss=2.9337 acc=45.94% | time=173.15s
[17:00:22] INFO - Epoch 21/30 | train loss=0.6358 acc=90.09% | val loss=2.9355 acc=46.04% | time=172.43s
[17:03:15] INFO - Epoch 22/30 | train loss=0.6085 acc=90.43% | val loss=2.9115 acc=46.53% | time=172.17s
[17:06:08] INFO - Epoch 23/30 | train loss=0.5664 acc=91.11% | val loss=2.9286 acc=46.38% | time=172.91s
[17:09:03] INFO - Epoch 24/30 | train loss=0.5377 acc=91.55% | val loss=2.9219 acc=46.65% | time=174.68s
[17:11:58] INFO - Epoch 25/30 | train loss=0.5140 acc=91.86% | val loss=2.9239 acc=46.60% | time=175.05s
[17:14:53] INFO - Epoch 26/30 | train loss=0.4878 acc=92.29% | val loss=2.9170 acc=46.82% | time=175.17s
[17:17:48] INFO - Epoch 27/30 | train loss=0.4631 acc=92.62% | val loss=2.9256 acc=46.64% | time=173.99s
[17:20:41] INFO - Epoch 28/30 | train loss=0.4452 acc=92.90% | val loss=2.9168 acc=46.97% | time=173.50s
[17:23:35] INFO - Epoch 29/30 | train loss=0.4300 acc=93.07% | val loss=2.9391 acc=47.00% | time=173.37s
[17:26:29] INFO - Epoch 30/30 | train loss=0.4077 acc=93.40% | val loss=2.9333 acc=46.96% | time=173.79s
