cell_id_token,center_latitude,center_longitude,config_name
0,43.706566,-121.27699,config_1
1,34.820854,-97.23661,config_1
2,39.780224,-120.037506,config_1
3,39.077595,-95.48498,config_1
4,46.836315,-113.82634,config_1
5,36.164318,-115.23345,config_1
6,30.193823,-97.86212,config_1
7,35.399666,-97.52673,config_1
8,43.597347,-116.22125,config_1
9,39.529137,-119.79639,config_1
10,45.7465,-108.617516,config_1
11,36.11623,-115.303474,config_1
12,32.85377,-97.09122,config_1
13,45.49652,-122.612,config_1
14,41.179817,-104.847305,config_1
15,29.558163,-98.60814,config_1
16,37.981075,-98.021996,config_1
17,44.438908,-110.73974,config_1
18,42.111,-112.2116,config_1
19,36.431046,-95.9209,config_1
20,41.113537,-96.25412,config_1
21,39.4487,-100.79716,config_1
22,36.145645,-115.15679,config_1
23,34.99832,-106.6793,config_1
24,39.224678,-114.88735,config_1
25,32.64989,-109.0527,config_1
26,45.62502,-111.733055,config_1
27,44.999226,-122.79033,config_1
28,45.69969,-109.50817,config_1
29,34.421425,-103.18237,config_1
30,41.156124,-95.909836,config_1
31,30.406073,-97.774925,config_1
32,41.95291,-113.08965,config_1
33,37.923374,-95.15346,config_1
34,48.70156,-113.50033,config_1
35,36.64498,-117.03179,config_1
36,36.91832,-109.1049,config_1
37,38.736046,-115.47138,config_1
38,42.93304,-110.07644,config_1
39,37.01029,-97.34923,config_1
40,44.104145,-123.200294,config_1
41,42.43711,-120.28512,config_1
42,48.147285,-116.18087,config_1
43,45.953438,-119.3516,config_1
44,39.02676,-96.63131,config_1
45,36.23035,-115.25003,config_1
46,39.365803,-97.65457,config_1
47,46.983074,-114.4476,config_1
48,46.408924,-116.7463,config_1
49,41.926277,-96.808304,config_1
50,35.90238,-106.01652,config_1
51,32.46417,-94.64196,config_1
52,48.37207,-107.29064,config_1
53,35.635883,-94.96229,config_1
54,35.224434,-97.45387,config_1
55,41.318428,-106.48418,config_1
56,36.112003,-115.14908,config_1
57,40.83472,-115.78232,config_1
58,34.29877,-108.12983,config_1
59,44.041306,-121.3482,config_1
60,37.66012,-100.16892,config_1
61,44.502785,-124.07365,config_1
62,46.594227,-112.1074,config_1
63,44.912987,-116.12291,config_1
64,37.056675,-95.607285,config_1
65,45.416637,-123.80254,config_1
66,34.049202,-96.76626,config_1
67,48.08282,-114.070305,config_1
68,39.573208,-119.7692,config_1
69,39.038616,-94.59732,config_1
70,36.17227,-105.96363,config_1
71,38.361465,-118.10567,config_1
72,36.167553,-115.12552,config_1
