cell_id_token,center_latitude,center_longitude,config_name
0,43.70656904574246,-121.27697695037045,config_1
1,34.80304973168777,-97.17631953902963,config_1
2,39.83301241542778,-120.03818342643292,config_1
3,39.07933838182281,-95.47252129841158,config_1
4,46.83480629647959,-113.82381619996534,config_1
5,36.174440600266735,-115.23606670103331,config_1
6,30.229826152311425,-97.84554869959013,config_1
7,35.388201191777384,-97.55132233537022,config_1
8,43.59135656443358,-116.23294428287133,config_1
9,39.51994923457655,-119.80811310587096,config_1
10,45.78787211978325,-108.55825112612709,config_1
11,36.1318748481596,-115.30286913348306,config_1
12,32.85551871080127,-97.08954643999891,config_1
13,45.50816131370554,-122.63881560865944,config_1
14,41.17619678049954,-104.85628090005098,config_1
15,29.577208644617475,-98.61962030323998,config_1
16,37.97904877691626,-98.02974897734562,config_1
17,44.480721702676384,-110.85258515527683,config_1
18,42.11963982870348,-112.21160280082304,config_1
19,36.49752069191877,-95.92318102197922,config_1
20,41.101737656188035,-96.26035954177225,config_1
21,39.453474444750704,-100.78932206951404,config_1
22,36.1716768669402,-115.17588246759112,config_1
23,35.00334388583969,-106.67560428779424,config_1
24,39.22468517895348,-114.88733899405258,config_1
25,33.16801931440673,-97.53121140299749,config_1
26,45.62502053199318,-111.73306496273399,config_1
27,32.45549694227288,-99.73062357860174,config_1
28,42.68888275332919,-123.35691352319775,config_1
29,34.355844558984316,-103.11277545219636,config_1
30,34.504749188784956,-96.33208823969844,config_1
31,30.43075352135987,-97.76365450783659,config_1
32,41.965376678660434,-113.02951638995515,config_1
33,37.90492968643273,-95.11602151496142,config_1
34,48.70157939816725,-113.50028734760699,config_1
35,36.65122198423712,-117.0279836977756,config_1
36,36.918310652288866,-109.10248040090349,config_1
37,44.991478183870356,-122.79440486122407,config_1
38,42.93212755051044,-110.07617195810161,config_1
39,36.97760501368259,-97.34425851617085,config_1
40,44.16788390920802,-123.30679403815134,config_1
41,42.430906455587596,-120.2864556612382,config_1
42,48.166962514799934,-116.20618488670264,config_1
43,45.73639507259377,-109.74012852329184,config_1
44,39.028160862523244,-96.63651960526064,config_1
45,41.14264058570747,-95.8958294943117,config_1
46,38.73604382691663,-115.47138879897126,config_1
47,45.95340097275982,-119.35171833882347,config_1
48,46.40892916710731,-116.7462834288113,config_1
49,41.92627528638528,-96.80830662460515,config_1
50,36.227068738832266,-115.25452747154587,config_1
51,32.46416587652745,-94.64197453284174,config_1
52,48.37206873703949,-107.29063221262334,config_1
53,35.639918963707295,-94.9608333407353,config_1
54,35.23669789602867,-97.44977011399368,config_1
55,41.33049978742506,-106.42002157273723,config_1
56,39.364731874211245,-97.63067730779849,config_1
57,40.87627892455413,-115.7302141419735,config_1
58,34.29877212404354,-108.12982340588,config_1
59,46.980887781481854,-114.455591237775,config_1
60,37.69418515673495,-100.16283882652158,config_1
61,44.496290854139126,-124.07452958472044,config_1
62,46.26942035857791,-112.127979541055,config_1
63,44.89645010487449,-116.1094673943112,config_1
64,37.056668669550106,-95.6072805129312,config_1
65,35.95418990895762,-106.03142032688415,config_1
66,34.03131235596751,-96.76543770947572,config_1
67,48.08225600704582,-114.07270519536343,config_1
68,36.123917356440764,-115.143367958494,config_1
69,39.04294353650236,-94.5922182975376,config_1
70,44.03705246796554,-121.46817139827232,config_1
71,38.361469737163326,-118.10567783221623,config_1
72,45.41809955458488,-123.80813630459512,config_1
73,46.00641927647462,-119.25031577811235,config_1
74,39.563042464286085,-119.78249338289997,config_1
75,36.928158816334964,-104.452411547593,config_1
76,32.43230975877009,-104.23422677838998,config_1
77,36.21407426432029,-105.90038228649428,config_1
78,40.73553761893507,-100.17455597336892,config_1
79,47.40825966704244,-115.50418279713335,config_1
80,37.73009394142933,-97.24629086698566,config_1
81,45.438015551230535,-105.41730124203353,config_1
82,35.87202832155474,-97.41424932595507,config_1
83,35.19271202025341,-108.64438764104358,config_1
84,32.76725854933021,-96.57817849155607,config_1
85,36.0886301725432,-96.0838311289297,config_1
86,46.19889349454679,-123.86349618575807,config_1
87,36.188747836905456,-115.12829151637972,config_1
88,44.91042730877943,-111.76870875411586,config_1
89,41.4799960688747,-110.02035191508224,config_1
90,37.977041823533,-100.82634775283334,config_1
91,45.271363355076765,-109.21627538197714,config_1
92,34.66527616685799,-96.78789847674379,config_1
93,43.18398177658665,-124.3663392344586,config_1
94,39.56975077146503,-95.37171681190775,config_1
95,39.009010259769624,-94.5622805427783,config_1
96,44.37049126190331,-121.21179253216673,config_1
97,35.55012701392906,-97.48605753443964,config_1
98,42.39273265323713,-122.89997321604424,config_1
99,40.51848451771426,-119.33746476667935,config_1
100,31.972310683664706,-97.07759729436222,config_1
101,35.23577121418112,-103.56216507706883,config_1
102,39.34484202149812,-119.86205407478128,config_1
103,30.15247936034295,-97.54189879950242,config_1
104,36.47486231970625,-95.29246542460747,config_1
105,46.84896405643492,-110.71828125058,config_1
106,33.96673380810345,-104.58105888967349,config_1
107,38.997507637336255,-98.14356344831918,config_1
108,43.64034481899265,-116.34100507718725,config_1
109,43.080795466145396,-122.12155376568356,config_1
110,43.363398324279984,-109.27763599507777,config_1
111,35.456796960351156,-95.42658859250237,config_1
112,43.50799528596709,-121.44961987889337,config_1
113,48.08246090448648,-115.15099793386517,config_1
114,47.16249531891687,-113.45497038823646,config_1
115,37.18404169076696,-94.88121083273388,config_1
116,31.204307676020832,-98.31790784804782,config_1
117,40.687278339430435,-98.93707402517143,config_1
118,39.76071856446637,-101.89962825076154,config_1
119,48.03818217189751,-114.82486752544379,config_1
120,35.75885693950155,-105.85967465086914,config_1
121,35.216603435562305,-96.67690531652629,config_1
122,38.9916243550999,-95.47362279026564,config_1
123,34.387991518957236,-103.19372968413069,config_1
124,46.019800994322495,-112.69949979432114,config_1
125,36.52317847804314,-114.71617828246535,config_1
126,40.818028481628275,-97.35882430337342,config_1
127,33.37441521827335,-94.04401206868383,config_1
128,43.50863213149339,-112.01750813119617,config_1
129,45.43212907129407,-122.65911456785874,config_1
130,38.46996692967953,-95.26445629740824,config_1
131,30.202251896118373,-97.78044991968467,config_1
132,44.82068811812345,-110.44160544528,config_1
133,39.67046743054596,-119.32683999460525,config_1
134,38.23384263611469,-96.74675216647259,config_1
135,45.38343654095689,-122.59915649352853,config_1
136,39.90466708811179,-96.59749642356515,config_1
137,43.62168322444054,-116.27395392790959,config_1
138,41.10983715583041,-104.07620951146964,config_1
139,40.482538241334275,-98.99293723867532,config_1
140,45.29336030206155,-111.69034147976907,config_1
141,30.093337968045915,-103.70244474423278,config_1
142,44.1249675668145,-116.10200937385127,config_1
143,34.184427339640294,-97.15182614655006,config_1
144,37.38694733455876,-117.13736846704631,config_1
145,44.44155273036612,-117.33495450574526,config_1
146,36.22463753627118,-96.7084285932038,config_1
147,39.045823067317215,-113.90142435747205,config_1
148,35.08653929223388,-101.67467248034654,config_1
149,39.14906161572649,-119.75232741993379,config_1
150,45.6163008564303,-111.19516427998133,config_1
151,35.07473602007796,-107.61533522848342,config_1
152,41.10533076657626,-96.63544239238554,config_1
153,45.52376632318298,-122.90629126675736,config_1
154,43.836274467864435,-110.44235564287261,config_1
155,34.18779244103758,-96.5818828869915,config_1
156,36.48464808519691,-116.41909739723535,config_1
157,41.65535607959031,-108.68827132888794,config_1
158,41.14796499841827,-95.92191005985246,config_1
159,31.22025820659475,-99.96452432120276,config_1
160,34.58692628910804,-96.63385021736008,config_1
161,43.70637824073355,-116.47130011427501,config_1
162,40.84223946574052,-96.60511972457232,config_1
163,39.531187321496404,-97.71801033362999,config_1
164,36.447331611287574,-108.01187278092642,config_1
165,37.20346853715648,-98.40825620396139,config_1
166,37.07781839001121,-101.72996407006643,config_1
167,45.64191669265945,-110.5833806547611,config_1
168,44.451393744963944,-107.72188907520142,config_1
169,33.210816211515265,-96.6567948701469,config_1
170,45.01169651993452,-108.26404595206826,config_1
171,33.76546869849261,-107.02573255168693,config_1
172,42.99740932421294,-100.58014506142531,config_1
173,32.579059180111685,-102.7261534317375,config_1
174,46.660814392931215,-113.17429927143435,config_1
175,43.23827987619528,-123.31682591919746,config_1
176,43.48250131835792,-114.27519424874448,config_1
177,45.36862167360956,-121.57687518797931,config_1
178,36.03542735437927,-115.03412383316066,config_1
179,34.99701872778705,-95.7199370697847,config_1
180,43.19004317684153,-111.03066730649427,config_1
181,35.35705564889353,-96.67157691248468,config_1
182,44.79728918237565,-111.1415193130344,config_1
183,48.50465927539983,-113.96436438197262,config_1
184,44.85487345059832,-122.78970649219191,config_1
185,37.83699572506508,-96.05367245383954,config_1
186,29.666142627061788,-95.52410332200388,config_1
187,41.382052751513434,-97.6996222157489,config_1
188,32.95048657457124,-96.95645000089664,config_1
189,32.799986416221614,-96.87997209828737,config_1
190,32.086336350716195,-96.44115013854092,config_1
191,32.0177285015493,-98.01757007994674,config_1
192,46.072585120195164,-116.33585331209872,config_1
193,47.38119854941721,-111.48972810942895,config_1
194,41.945874769453276,-111.40884051330053,config_1
195,45.20154609516667,-123.95233284774568,config_1
196,41.49725757500179,-96.15537274717258,config_1
197,32.732910931414,-96.64660662305167,config_1
198,38.50686977090676,-96.19587404234193,config_1
199,46.02641542916632,-123.9219367561326,config_1
200,43.3938117506328,-111.26803850506779,config_1
201,43.59815021469634,-110.81723476632426,config_1
202,46.175798515150134,-111.45917116974961,config_1
203,37.53405565558849,-95.26819193134263,config_1
204,35.85872919641361,-94.99396702007988,config_1
205,42.459039651523064,-112.19555342637744,config_1
206,48.5407736648276,-113.30670442230749,config_1
207,47.86521885122639,-113.84267781881242,config_1
208,39.32404272699236,-94.93494051390721,config_1
209,38.216875815320236,-116.36170785765411,config_1
210,30.677738175024,-93.98448590778524,config_1
211,36.81035537487836,-94.87587697224522,config_1
212,36.41648265179141,-97.62340384651405,config_1
213,44.1508339330291,-124.11800302840007,config_1
214,48.42460259235014,-115.83075542814207,config_1
215,38.36675836816605,-97.34745642468293,config_1
216,36.399910192993104,-106.4794819582042,config_1
217,43.24195525544802,-108.02093457660447,config_1
218,41.10327785279364,-101.77119225369267,config_1
219,33.25701383990144,-103.29361018256667,config_1
220,29.06528458621005,-96.25431199893724,config_1
221,39.59439030144296,-119.73388227208314,config_1
222,35.096805816340094,-95.69183087193039,config_1
223,30.108346423144546,-97.31457281333279,config_1
224,36.02759358782614,-108.86747908515257,config_1
225,41.73400862092753,-106.81846908557785,config_1
226,40.33179148386295,-98.44618519015198,config_1
227,35.2391131221944,-95.50080864042377,config_1
228,35.191976502812054,-114.51548001601044,config_1
229,46.71638998059691,-116.99340318878883,config_1
230,33.22770833992024,-97.14878296990588,config_1
231,38.8931021539373,-94.75793094734122,config_1
232,32.88779244499192,-96.85433068985232,config_1
233,45.13855380482667,-111.67077540803626,config_1
234,33.0887194261185,-96.06339873105125,config_1
235,37.84422285917091,-95.41497464394973,config_1
236,42.37395684423549,-111.05117988102475,config_1
237,38.402781877312314,-94.68734994965153,config_1
238,36.529058957726974,-105.5663499623483,config_1
239,34.69991812029559,-96.62764878660327,config_1
240,28.813861026270846,-98.35489835885897,config_1
241,43.69631853894817,-109.98043782943387,config_1
242,43.729502358284634,-116.3836475614393,config_1
243,39.74566009173589,-119.89041436692746,config_1
244,45.58934020010332,-123.00153883241228,config_1
245,37.287369328030394,-97.36318201221013,config_1
246,34.570624124995206,-97.17887715348435,config_1
247,42.01560953773765,-96.44187870115549,config_1
248,42.506502777440815,-110.92199375923978,config_1
249,38.94552015813538,-101.6753180007684,config_1
250,32.84017069894431,-97.37494893516485,config_1
251,35.52942993282014,-98.58371747454184,config_1
252,39.24171771167519,-96.572363323604,config_1
253,45.25938924814555,-116.3314976184025,config_1
254,36.895969761643066,-106.59163162542576,config_1
255,42.50157237786772,-107.86645053311459,config_1
256,34.41294427184577,-103.18120927474482,config_1
257,32.539289761581614,-107.47098922255095,config_1
258,38.96358792434877,-95.24350076394997,config_1
259,41.26360878190141,-98.92597486869309,config_1
260,45.4533320509661,-122.70355014258946,config_1
261,48.276674403454635,-116.53773620230146,config_1
262,36.71914599107342,-95.92711177808305,config_1
263,36.27598553063437,-115.27202590532622,config_1
264,45.551054738812056,-122.95030575553344,config_1
265,43.13397134935741,-121.05878560250048,config_1
266,34.1391268612118,-96.27825703961764,config_1
267,39.80964102044627,-95.72348559515734,config_1
268,35.31122673366568,-105.8301883986061,config_1
269,46.050796208249125,-111.55900203507005,config_1
270,44.046336241225774,-121.32410584594594,config_1
271,45.52568382195052,-122.99514456500526,config_1
272,41.2012356694424,-114.61573066595085,config_1
273,43.54444309946836,-110.87403067586055,config_1
274,35.725684027792965,-96.39916938006466,config_1
275,42.89834868753835,-108.7814974058727,config_1
276,43.7244011478932,-116.24488419707144,config_1
277,43.509368124405704,-116.84818995258448,config_1
278,34.43866582986624,-103.17825184818354,config_1
279,29.58825225742613,-98.24967759139926,config_1
280,38.59173385436584,-94.6929975502612,config_1
281,42.635830671769455,-114.4051752241763,config_1
282,35.99173423177278,-95.36775170359638,config_1
283,31.639820286778573,-106.34574726529712,config_1
284,37.64830367247929,-97.59654101996514,config_1
285,40.66660086753404,-98.74447317138277,config_1
286,37.281571123947444,-99.1131077541609,config_1
287,42.75891984829331,-105.41301800138173,config_1
288,43.135334899195115,-121.80929603884553,config_1
289,42.5581194066738,-121.99782067959914,config_1
290,44.66163705338575,-111.08985233143981,config_1
291,45.282912409281764,-111.22628919426,config_1
292,36.142917574276886,-95.77629397825967,config_1
293,47.268956401856414,-117.11612519525707,config_1
294,43.42345026459816,-121.78205089066392,config_1
295,40.87025177491223,-110.83798643201612,config_1
296,37.67477838140519,-96.43965307418051,config_1
297,47.51628023465729,-116.03056050596288,config_1
298,45.533850784363565,-121.58631161832392,config_1
299,38.884502380999905,-95.4837808177507,config_1
300,43.81321066591746,-111.78689271671692,config_1
301,43.56929559840915,-116.46512179298594,config_1
302,34.896562458199654,-96.67710846900492,config_1
303,45.55134232263517,-122.53509304644615,config_1
304,44.7851479977785,-110.452705851685,config_1
305,36.29210563669806,-115.32023771610102,config_1
306,34.990378067275984,-105.2742002926443,config_1
307,45.69904533954854,-109.50250651395454,config_1
308,48.603825495324,-116.00925405998501,config_1
309,29.108475407450648,-100.05272967510732,config_1
310,37.698994311377106,-94.71217031188807,config_1
311,39.59779414586872,-94.78864490818829,config_1
312,36.04450846179547,-115.22696116499162,config_1
313,39.53787215459557,-119.78566071460396,config_1
314,34.27188925911872,-96.55897662335413,config_1
315,34.4526340775957,-104.22006295575352,config_1
316,38.419405180667944,-96.15280172285019,config_1
317,30.538198751534704,-98.55047628230459,config_1
318,38.8200296063542,-97.63475226073636,config_1
319,34.308474262336986,-98.05762354339305,config_1
320,33.92643837972922,-97.33387848088284,config_1
321,32.901400727794645,-96.94911409919281,config_1
322,45.46276168764606,-122.63961215176647,config_1
323,38.15911128194081,-97.47772005777891,config_1
324,44.72058291826204,-110.66764845211245,config_1
325,48.10481042551018,-115.80415606519256,config_1
326,41.20717728410267,-96.01215170403421,config_1
327,44.77692053145979,-106.93883060961294,config_1
328,44.420028394916166,-121.76450532533096,config_1
329,35.47002847572718,-115.52094320840956,config_1
330,37.10078192919357,-96.49314306141596,config_1
331,46.22267251533863,-113.24174210003235,config_1
332,41.00054040040426,-102.92934610762629,config_1
333,43.94707159468482,-117.31528880742688,config_1
334,45.45941305384053,-108.94474322353965,config_1
335,43.36885723978862,-110.73510059761564,config_1
336,47.89633396654872,-112.20675023356559,config_1
337,39.394664718635426,-97.08901332452349,config_1
338,40.53759693076078,-101.86449232671178,config_1
339,37.08628644757386,-100.85260212385398,config_1
340,36.70404009234349,-108.1007017403758,config_1
341,39.30651763928801,-119.5497874815604,config_1
342,40.633785803843296,-96.12059443864307,config_1
343,37.9381241114974,-95.36271828680263,config_1
344,35.47280600732256,-105.27666442257566,config_1
345,40.4408952858447,-99.38167849918437,config_1
346,32.95100786466167,-96.76999975861195,config_1
347,42.97215809048185,-117.16316563114869,config_1
348,31.460557804865804,-97.11481506716913,config_1
349,34.951405254250226,-104.67122277407304,config_1
350,43.89785662184223,-124.11788911040276,config_1
351,38.779248978557725,-118.76339896288762,config_1
352,41.67734425290804,-107.99288479804525,config_1
353,30.647394034158534,-97.66690573346264,config_1
354,45.15107198877287,-123.95735607316053,config_1
355,34.090289041331715,-105.6455305815615,config_1
356,46.88519005421795,-114.02276557615694,config_1
357,46.81911597496064,-112.84622306469008,config_1
358,33.99766852406818,-96.47064736153094,config_1
359,44.7838644699206,-121.29864801712604,config_1
360,36.470948020962,-117.21391602438626,config_1
361,33.32851394594286,-97.00557493483892,config_1
362,37.55448826353957,-99.3035558245429,config_1
363,48.60270150398514,-114.13770771143001,config_1
364,32.477140819203,-94.10150495123966,config_1
365,31.817830826943165,-109.04427462873167,config_1
366,39.509893212792,-119.77971443218408,config_1
367,45.174983851064006,-113.89234880612332,config_1
368,39.51468942557813,-100.58603559496134,config_1
369,39.401289250040584,-115.70885211225429,config_1
370,45.50064793469097,-122.72882678640445,config_1
371,40.08119280474625,-96.5405572431677,config_1
372,34.81847951045332,-96.66082792763812,config_1
373,36.129431451832744,-97.09383913965013,config_1
374,35.621531480628384,-106.74789675973736,config_1
375,29.750823175436928,-95.60270553131399,config_1
376,45.501640534626624,-122.95689386833155,config_1
377,39.4854705394408,-98.63362347517295,config_1
378,43.41702775945442,-110.77083107711807,config_1
379,44.57429399480251,-116.03507039154458,config_1
380,35.836273516600855,-114.57042238003666,config_1
381,41.542934834742795,-96.49971007316714,config_1
382,45.45524531746692,-122.80466065115971,config_1
383,29.969738617959592,-98.52874907970268,config_1
384,32.751707655769664,-96.97028466906423,config_1
385,34.332534887216454,-96.05936820575187,config_1
386,36.25278039770489,-116.75782746654552,config_1
387,36.14880321223425,-104.68324034563715,config_1
388,40.76969247293198,-96.98676679027975,config_1
389,45.8840156271089,-116.19932867158938,config_1
390,45.05316849068801,-120.96913783269717,config_1
391,34.17468203584982,-96.83604466482939,config_1
392,36.95604768202917,-116.73266804268724,config_1
393,39.05362014212172,-96.31976749337909,config_1
394,36.16113220368405,-115.08178025178591,config_1
395,37.19572376234673,-95.45280002879109,config_1
396,43.47518845632947,-116.26620980855962,config_1
397,47.03617574061948,-113.29359011231523,config_1
398,46.475698368238916,-109.73849658308586,config_1
399,32.291281051552254,-108.86105839747749,config_1
400,36.31674461707405,-115.29581872068857,config_1
401,35.310494847615864,-96.67112237314313,config_1
402,32.96020323143314,-96.82341807204661,config_1
